"Date","Revenue("
"31/12/2020",5.314 
"30/09/2020",5.418 
"30/06/2020",3.762 
"31/03/2020",4.714 
"31/12/2019",5.428 
"30/09/2019",5.502 
"30/06/2019",5.410 
"31/03/2019",5.024 
"31/12/2018",5.396 
"30/09/2018",5.369 
"30/06/2018",5.354 
"31/03/2018",5.139 
"31/12/2017",5.340 
"30/09/2017",5.755 
"30/06/2017",6.050 
"31/03/2017",5.676 
"31/12/2016",6.029 
"30/09/2016",6.424 
"30/06/2016",6.265 
"31/03/2016",5.904 
"31/12/2015",6.341 
"30/09/2015",6.615 
"30/06/2015",6.498 
"31/03/2015",5.959 
"31/12/2014",6.572 
"30/09/2014",6.987 
"30/06/2014",7.182 
"31/03/2014",6.700 
"31/12/2013",7.093 
"30/09/2013",7.323 
"30/06/2013",7.084 
"31/03/2013",6.605 
"31/12/2012",6.952 
"30/09/2012",7.152 
"30/06/2012",6.916 
"31/03/2012",6.547 
"31/12/2011",6.823 
"30/09/2011",7.166 
"30/06/2011",6.905 
"31/03/2011",6.112 
"31/12/2010",6.214 
"30/09/2010",6.305 
"30/06/2010",5.946 
"31/03/2010",5.610 
"31/12/2009",5.973 
"30/09/2009",6.047 
"30/06/2009",5.647 
"31/03/2009",5.077 
"31/12/2008",5.565 
"30/09/2008",6.267 
"30/06/2008",6.075 
"31/03/2008",5.615 
"31/12/2007",5.754 
"30/09/2007",5.901 
"30/06/2007",5.839 
"31/03/2007",5.293 
"31/12/2006",5.111 
"30/09/2006",5.503 
"30/06/2006",5.367 
"31/03/2006",4.914 
"31/12/2005",5.235 
"30/09/2005",5.327 
"30/06/2005",5.096 
"31/03/2005",4.803 
